"path","category","purpose","recommended_action","reason"
"docs\HANDOFF_TO_CODEX_2026-02-10.md","doc_handover","handover record for current session","keep","current primary handover"
"docs\Handover\CLAUDE_CODE_HANDOVER_2026-02-10.md","doc_handover","handover record for previous session","archive","historical handover, keep in archive/handover"
"docs\Ops\KB_Monthly_Checkpoint_Template.md","doc_ops","operations runbook/checklist/template","keep","operational governance documents"
"docs\Ops\KB_Monthly_Checkpoints\2026-02_prod.md","doc_ops_record","monthly checkpoint record","keep","audit trail record"
"docs\Ops\KB_Threshold_Change_Template.md","doc_ops","operations runbook/checklist/template","keep","operational governance documents"
"docs\Ops\KB_Threshold_Changes\KB-TC-20260209-01.md","doc_ops_record","ops change record","keep","audit trail record"
"docs\Ops\KB_Weekly_Review_Checklist.md","doc_ops","operations runbook/checklist/template","keep","operational governance documents"
"docs\Ops\Release_Governance.md","doc_ops","operations runbook/checklist/template","keep","operational governance documents"
"docs\Progress\Blueprint.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Current_Backlog_2026-02-07.md","doc_progress","daily backlog snapshot","merge_archive","merge into one latest backlog then archive historical copies"
"docs\Progress\Current_Backlog_2026-02-08.md","doc_progress","daily backlog snapshot","merge_archive","merge into one latest backlog then archive historical copies"
"docs\Progress\Current_Backlog_2026-02-09.md","doc_progress","daily backlog snapshot","merge_archive","merge into one latest backlog then archive historical copies"
"docs\Progress\Div_Progress_Goal1.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Div_Todo_Goal2.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Master_Plan.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Master_Progress.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\ProjectCleanerSkill.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\README.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Stop_Doing.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Update_Workflow.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\QA\Acceptance_Checklist_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\Agent_Allocation_Fix_Summary.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\Agent_LLM_Readiness_Checklist_2026-02-10.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\AI_Features_Testing_Analysis_2026-02-10.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\P0_AI_Quality_Tests_Summary.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\P1_AI_Benchmark_Infrastructure_Summary.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\P2_Benchmark_Baseline_Summary.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_BL-002_to_BL-007.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_FullChain_Checklist_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_FullChain_Defects_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_FullChain_Execution_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_KB_004_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_KB_005_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_KB_006_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_KB_007_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_OPS_001_004_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_RealUsage_Log_2026-02.md","doc_log","living UAT execution log","keep","current active log document"
"docs\QA\UAT_TEMPLATE.md","doc_template","UAT template used as reusable skeleton","keep","baseline template for future UAT"
"docs\Runbook.md","doc","project documentation","keep_review","review overlap with other docs"
