"path","category","purpose","recommended_action","reason"
".claude\settings.local.json","tooling","assistant tooling context file","archive_or_ignore","optional local assistant metadata"
".github\workflows\ci.yml","ci_workflow","CI/CD workflow","keep","automation pipeline"
".github\workflows\kb-benchmark-monitor.yml","ci_workflow","CI/CD workflow","keep","automation pipeline"
".github\workflows\kb-monthly-checkpoint.yml","ci_workflow","CI/CD workflow","keep","automation pipeline"
".github\workflows\kb-weekly-review.yml","ci_workflow","CI/CD workflow","keep","automation pipeline"
".github\workflows\promotion-gate.yml","ci_workflow","CI/CD workflow","keep","automation pipeline"
".github\workflows\rollback-drill.yml","ci_workflow","CI/CD workflow","keep","automation pipeline"
".gitignore","root_config","root configuration/launcher","keep","project-level config/bootstrap"
".pytest_cache\.gitignore","cache","pytest cache","can_delete_now","auto-generated by pytest"
".pytest_cache\CACHEDIR.TAG","cache","pytest cache","can_delete_now","auto-generated by pytest"
".pytest_cache\README.md","cache","pytest cache","can_delete_now","auto-generated by pytest"
".pytest_cache\v\cache\lastfailed","cache","pytest cache","can_delete_now","auto-generated by pytest"
".pytest_cache\v\cache\nodeids","cache","pytest cache","can_delete_now","auto-generated by pytest"
".pytest_cache\v\cache\stepwise","cache","pytest cache","can_delete_now","auto-generated by pytest"
".runtime\acceptance\backend.err.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\acceptance\backend.out.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\acceptance\frontend.err.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\acceptance\frontend.out.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\acceptance\kb_upload_note.txt","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\acceptance\scheduler.err.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\acceptance\scheduler.out.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\ai_quality_tests_20260210_145843.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\ai_quality_tests_evidence.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\backend-port.txt","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\deploy_report_staging_dryrun.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark.sqlite3","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark_history\prod\benchmark_20260209T111054Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark_history\prod\benchmark_20260209T111137Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark_history\prod\benchmark_20260209T112125Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark_history\prod\benchmark_20260209T112132Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
